alias	ourname
St.  John, James Augustus	St. John, James Augustus
Myers, L. H. (Leopold Hamilton)	Myers, L. H
Brontë, Charlotte	Brontë, Charlotte
Jacobs, W.W	Jacobs, W. W
Griswold, F.Burge	Griswold, F. Burge
Forester, C.S.(Cecil Scott)	Forester, C. S. (Cecil Scott)
Porter, Gene Stratton	Stratton-Porter, Gene
Myers, L.  H	Myers, L. H
Jí_kai, Mí_r	Jokai, Mór
Burnand, F.  C	Burnand, F. C
Hon., Sackville-West, Edward	West, Edward Sackville
Cunninghame Graham, R.B	Cunninghame Graham, R. B
Armstrong, F.C	Armstrong, F. C
Lawrence, D.H	Lawrence, D. H
Blackmore, R.  D	Blackmore, R. D
Barrowcliffe, A.  J	Barrowcliffe, A. J
Moir, Erskine	Skene, Felicia
Thurston, Katherine Cecil	Thurston, Katherine
Wood, H.F	Wood, H. F
Forester, C.  S.  (Cecil Scott)	Forester, C. S. (Cecil Scott)
Ingram, J.Forsyth	Ingram, J. Forsyth
Beecher, Henry Ward	Edwards, Amelia Ann Blanford
Mott, Albert Julius	Barrowcliffe, A. J
Veitch, Sophie F.F	Veitch, Sophie F. F
Barrowcliffe, A.J	Barrowcliffe, A. J
Heighway, Osborn W.  Trenery	Heighway, Osborn W. Trenery
Williamson, C.N	Williamson, C. N
Mallock, W.H	Mallock, W. H
Collins, A.  Maria	Collins, A. Maria
 , Isabella	Banks, G. Linnaeus
Lawrence, George Alfred	Lawrence, George A
Hí©mon, Louis	Hémon, Louis
Davis, M.  E.  M	Davis, M. E. M
Somerville, E.Œ	Somerville, E. Œ
Montague, C.  E	Montague, C. E
Hall, S.C	Hall, S. C
Capes, J.M	Capes, J. M
Beresford, J. D. (John Davys)	Beresford, J. D
Roe, A.S	Roe, A. S
Chittenden, L.E	Chittenden, L. E
Oppenheim, E.  Phillips	Oppenheim, E. Phillips
Johnston, Harry	Johnston, Sir Harry
Robinson, F.  W	Robinson, F. W
Bailey, H.C.(Henry Christopher)	Bailey, H. C. (Henry Christopher)
Hull, Helen R.(Helen Rose)	Hull, Helen R. (Helen Rose)
Arthur, T.  S	Arthur, T. S
Bates, H.E.(Herbert Ernest)	Bates, H. E. (Herbert Ernest)
van Dyke, Henry	Van Dyke, Henry
Norris, Charles Gilman	Norris, Charles
Mason, A.  E.  W	Mason, A. E. W
Train, Arthur	Train, Arthur Cheney
Whyte-Melville, G.J	Whyte-Melville, G. J
Lawrence, D.  H	Lawrence, D. H
Palacio Valdí©s, Armando	Palacio Valdés, Armando
Freeman, R.  Austin (Richard Austin)	Freeman, R. Austin (Richard Austin)
Croker, B.M	Croker, B. M
(John Boynton), Priestley, J. B	Priestley, J.B
Rayne, M.  L	Rayne, M. L
Goulding, F.  R	Goulding, F. R
Powys, T.  F	Powys, T. F
Somerville, E. Ë	Somerville, E. Œ
Haggard, H.Rider	Haggard, H. Rider
Goff, H.N.K	Goff, H. N. K
Powers, J.F	Powers, J.F
Braddon, Mary Elizabeth	Braddon, M. E
Capes, J.  M	Capes, J. M
Bradford, O.  K	Bradford, O. K
Doyle, A. Conan	Doyle, Arthur Conan
 , Aloisia	Schubin, Ossip
 , Hugh Stowell	Merriman, Henry Seton
Jay, W.  M.  L	Jay, W. M. L
Speight, T.  W	Speight, T. W
Whyte-Melville, G.  J	Whyte-Melville, G. J
Ballantyne, R.M	Ballantyne, R. M
Farrar, F.  W	Farrar, F. W
Harwood, Isabella	Neil, Ross
Dixon, Thomas	Dickson, Thomas
Gerard, Emily	Gerard, E
Bradford, O.K	Bradford, O. K
Myers, L.H	Myers, L. H
Ritner, W.D	Ritner, W. D
Wood, Henry	Wood, Ellen
Ramé, Maria Louise 	Ouida
Jay, W.M.L	Jay, W. M. L
Arnold Bennett	Bennett, Arnold
Philips, F.C	Philips, F. C
Frank, Waldo David	Frank, Waldo
Ritner, W.  D	Ritner, W. D
Nordhoff, Charles	Nordhoff, Charles and Hall, James Norman
Sitwell, Edith, Dame	Sitwell, Edith
Crawford, F.  Marion	Crawford, F. Marion
Isham, Frederic Stewart	Isham, Frederick Stewart
Freeman, R.Austin (Richard Austin)	Freeman, R. Austin (Richard Austin)
Oppenheim, E.Phillips	Oppenheim, E. Phillips
Bardeen, C. W	Bardeen, C. W. (Charles William)
Somerville, E. Í	Somerville, E. Œ
Maxwell, W.B	Maxwell, W. B
Scudder, Horace Elisha. [from old catalog]	Scudder, Horace Elisha
Chandler, W.  A	Chandler, W. A
Smith, Francis Hopkinson	Smith, F. Hopkinson
Maugham, W.Somerset	Maugham, W. Somerset
Bower, B.M	Bower, B. M
Mottram, R. H. (Ralph Hale)	Mottram, R. H
Krasnov, P.N.(Petr Nikolaevich)	Krasnov, P. N. (Petr Nikolaevich)
Dalrymple, J.  Elphinstone	Dalrymple, J. Elphinstone
Blackwood, Algernon	Algernon Blackwood
Priestley, J. B	Priestley, J.B
Montague, C.E	Montague, C. E
Edwards, C.R	Edwards, C. R
Barrie, J. M. (James Matthew)	Barrie, J. M
Benson, E. F. (Edward Frederic)	Benson, E. F
Stern, G.  B	Stern, G. B
Pritchett, V.S	Pritchett, V.S
Reddin, Kenneth Sheils	Reddin, Kenneth
(Henry Major), Tomlinson, H.M	(Henry Major), Tomlinson, H. M
Whitney, A.  D.  T	Whitney, A. D. T
Davis, M.E.M	Davis, M. E. M
Reynolds, George W.  M	Reynolds, George W. M
Bailey, H. C	Bailey, H. C. (Henry Christopher)
Blasco Ibíçí±ez, Vicente	Blasco Ibáñez, Vicente
Hegan, Alice Caldwell	Rice, Alice Caldwell Hegan
Powys, Theodore Francis	Powys, T. F
Milne, A. A	Milne, A.A
Ingram, J.  Forsyth	Ingram, J. Forsyth
Goodwin, H.  B	Goodwin, H. B
 , Henrietta Eliza Vaughan	Winter, John Strange
Chesterton, G.K	Chesterton, G. K
 , Rebecca Sophia	May, Sophie
Collins, A.Maria	Collins, A. Maria
Shorthouse, J.  H	Shorthouse, J. H
 , Edith	Somerville, E. Œ
Bain, F.W	Bain, F. W
Hough, Frank Olney	Hough, Frank O
(Alfred Greenwood), Hales, A.  G	(Alfred Greenwood), Hales, A. G
Forster, E. M. (Edward Morgan)	Forster, E.M
Voynich, E.L	Voynich, E. L
Dowie, Mí©nie Muriel	Dowie, Ménie Muriel
Baker, Hariette Newell Wodds	Leslie, Madeline
Poynter, E.Frances	Poynter, E. Frances
Canfield, Dorothy	Fisher, Dorothy Canfield
Norris, W.E	Norris, W. E
Hutchinson, A.S.M	Hutchinson, A. S. M
Clements, E.  H.  (Eileen Helen)	Clements, E. H. (Eileen Helen)
Wodehouse, P.  G	Wodehouse, P. G
 , Henrietta	Tytler, Sarah
Bardeen, C.  W.  (Charles William)	Bardeen, C. W. (Charles William)
Roe, A.  S	Roe, A. S
Alexander	Alexander, Mrs
Fullom, S.  W	Fullom, S. W
Banks, Isabella	Banks, G. Linnaeus
Benson, E.F	Benson, E. F
Lockhart, Laurence W.M	Lockhart, Laurence W. M
Wood, H.  F	Wood, H. F
Croker, Bithia Mary	Croker, B. M
Arnold, Augustus C.L	Arnold, Augustus C. L
Bridges, Emily Feake 	Droz, Gustave
Hull, Helen R.  (Helen Rose)	Hull, Helen R. (Helen Rose)
Krasnov, P.  N.  (Petr Nikolaevich)	Krasnov, P. N. (Petr Nikolaevich)
Couperthwaite, S.  L	Couperthwaite, S. L
Priestley, J. B. (John Boynton)	Priestley, J.B
Buxton, B.H	Buxton, B. H
James, Winifred Lewellin	James, Winifred
Goff, H.  N.  K	Goff, H. N. K
Borrow, George	Borrow, George Henry
Ward, Humphry	Ward, Mary Augusta
Coppard, A.E.(Alfred Edgar)	Coppard, A. E. (Alfred Edgar)
Cody, H.A.(Hiram Alfred)	Cody, H. A. (Hiram Alfred)
Norris, W.  E	Norris, W. E
 , Gwendoline	Zack
Ibanez, V. Blasco	Blasco Ibáñez, Vicente
Adderley, J. G	Adderley, James Granville
Edmonds, Walter Dumaux	Edmonds, Walter D
Gorman, Herbert Sherman	Gorman, Herbert
Banks, G.Linnaeus	Banks, G. Linnaeus
Wells, H.  G	Wells, H. G
St.John, James Augustus	St. John, James Augustus
Priestley, J.B	Priestley, J.B
Bates, H.  E.  (Herbert Ernest)	Bates, H. E. (Herbert Ernest)
Linton, E.Lynn	Linton, E. Lynn
[Anderson, I.  H. ]	[Anderson, I. H.]
Eldershaw, M.  Barnard	Eldershaw, M. Barnard
Parr, Louisa	Parr, Louisa Taylor
 , Hilda	Grier, Sydney C
Bronte, Charlotte	Brontë, Charlotte
Mallock, W.  H	Mallock, W. H
Poynter, E.  Frances	Poynter, E. Frances
Von Hutten	Von Hutten, Bettina Riddle
(Hilda Doolittle), H. D	H. D
Haldeman-Julius, E	Haldeman-Julius, Emanuel and Anna Marcet
Parker, Sir Gilbert	Parker, Gilbert
Costain, Thomas B.  (Thomas Bertram)	Costain, Thomas B. (Thomas Bertram)
Lockhart, Laurence W.  M	Lockhart, Laurence W. M
Holland, J.  G	Holland, J. G
Haggard, H.  Rider	Haggard, H. Rider
Forster, E. M	Forster, E.M
 , Valentine Goldie	Goldie, V
Street, James H.  (James Howell)	Street, James H. (James Howell)
[Anderson, I.H.]	[Anderson, I. H.]
Maxwell, W.  B	Maxwell, W. B
Griswold, F.  Burge	Griswold, F. Burge
Trowbridge, J.  T	Trowbridge, J. T
Speight, T.W	Speight, T. W
Beresford, J.D	Beresford, J. D
Stacpoole, H.De Vere	Stacpoole, H. De Vere
Warfield, Catherine Ann	Warfield, Catherine Ann Ware
Mulock, Dinah Maria	Craik, Dinah Maria Mulock
Greenough, Richard S., Mrs	Greenough, Richard S., Mrs
Keddie, Henrietta	Tytler, Sarah
Whitney, A.D.T	Whitney, A. D. T
Barrie, J.  M	Barrie, J. M
Ayres, Ruby M	Ayres, Ruby M. (Ruby Mildred)
Stribling, T.S	Stribling, T.S
Bullard, A.T.J	Bullard, A. T. J
Greenough, Richard S	Greenough, Richard S., Mrs
Street, James H.(James Howell)	Street, James H. (James Howell)
Harrison, Henry Sydnor	Harrison, Henry
Edwards, C.  R	Edwards, C. R
Mile, A. A	Milne, A.A
Mitchell, S.Weir	Mitchell, S. Weir
Powers, J. F. (James Farl)	Powers, J.F
Flagg, W.J	Flagg, W. J
Maugham, W.  Somerset	Maugham, W. Somerset
Barrie, J.M	Barrie, J. M
Powers, J. F	Powers, J.F
Ellis, J.  Breckenridge	Ellis, J. Breckenridge
Barrie, James M	Barrie, J. M
Armstrong, F.  C	Armstrong, F. C
Greenough, Richard S. , Mrs	Greenough, Richard S., Mrs
Oliphant	Oliphant, Margaret
Voynich, E.  L	Voynich, E. L
(Charles Edward), Montague, C. E	Montague, C. E
 , probably male author under	Fleming, Geraldine
Goulding, F.R	Goulding, F. R
Hutchinson, R. C. (Ray Coryton)	Hutchinson, R.C
Du Boisgobey, Fortuní©	Du Boisgobey, Fortuné
(Alan Alexander), Milne, A. A	Milne, A.A
H.  D	H. D
Farrar, F.W	Farrar, F. W
Henty, G.A	Henty, G. A
Scott, Geo.  G	Scott, Geo. G
Robinson, F.W	Robinson, F. W
Crawford, F.Marion	Crawford, F. Marion
Jacobs, W.  W	Jacobs, W. W
Mottram, R.H	Mottram, R. H
Lewis, Grace (Hegger) Mrs	Lewis,Grace Hegger
Farrar, Frederic William	Farrar, F. W
Clements, E.H.(Eileen Helen)	Clements, E. H. (Eileen Helen)
Buck, Pearl S. (Pearl Sydenstricker)	Buck, Pearl S
(Victor Sawdon), Pritchett, V. S	Pritchett, V.S
Howe, E.W	Howe, E. W
Blackmore, R.D	Blackmore, R. D
Mason, A.E.W	Mason, A. E. W
Smith, Lillian	Smith, Lillian Eugenia
H.D	H. D
Hall, S.  C	Hall, S. C
Wodehouse, P.G	Wodehouse, P. G
 Wodehouse, P.G	Wodehouse, P. G
Forster, E.M	Forster, E.M
Hart, Caroline	Garvice, Charles
Davis, H.  L	Davis, H. L
Bain, F.  W	Bain, F. W
Davis, H. L. (Harold Lenoir)	Davis, H. L
Cody, H.  A.  (Hiram Alfred)	Cody, H. A. (Hiram Alfred)
Flagg, W.  J	Flagg, W. J
Paull, M.A	Paull, M. A
Snaith, J.  C	Snaith, J. C
Bower, B.  M	Bower, B. M
Oppenheim, E. Phillips (Edward Phillips)	Oppenheim, E. Phillips
Fletcher, J.S.(Joseph Smith)	Fletcher, J. S. (Joseph Smith)
Veitch, Sophie F.  F	Veitch, Sophie F. F
Fletcher, J.  S.  (Joseph Smith)	Fletcher, J. S. (Joseph Smith)
Ellis, J.Breckenridge	Ellis, J. Breckenridge
Lawrence, D. H. (David Herbert)	Lawrence, D. H
Haggard, H. Rider (Henry Rider)	Haggard, H. Rider
Wood, Henry, Mrs	Wood, Ellen
Croker, B.  M	Croker, B. M
Braddon, Mary E	Braddon, M. E
Pritchett, V. S	Pritchett, V.S
 , Pearl Mary Teresa	Hobbes, John Oliver
Blaze de Bury, baroness	Murray, Hamilton
Mrs R Mackenzie Daniel, née Elizabeth Daniel	Daniel, Mackenzie
O.Douglas	O. Douglas
 , Winifred	Watanna, Onoto
Shorthouse, J.H	Shorthouse, J. H
Stribling, T. S	Stribling, T.S
Hutchinson, R.C	Hutchinson, R.C
Coppard, A.  E.  (Alfred Edgar)	Coppard, A. E. (Alfred Edgar)
Johnson, Josephine Winslow	Johnson, Josephine
Eldershaw, M.Barnard	Eldershaw, M. Barnard
Braddon, M.  E	Braddon, M. E
[Lawrence, George Alfred]	Lawrence, George A
Mitchell, S.  Weir	Mitchell, S. Weir
Hales, A. G	(Alfred Greenwood), Hales, A. G
Dorr, Julia C.R	Dorr, Julia C. R
(Alfred Greenwood), Hales, A.G	(Alfred Greenwood), Hales, A. G
Bailey, H.  C.  (Henry Christopher)	Bailey, H. C. (Henry Christopher)
Reynolds, George W.M	Reynolds, George W. M
Halldór Laxness	Laxness, Halldor
Wiggin, Kate Douglas	Wiggin, Kate Douglas Smith
du Maurier, George	Du Maurier, George
Trowbridge, J.T	Trowbridge, J. T
Dorr, Julia C.  R	Dorr, Julia C. R
Powys, T.F	Powys, T. F
Chandler, W.A	Chandler, W. A
Chittenden, L.  E	Chittenden, L. E
Glasgow, Ellen	Glasgow, Ellen Anderson Gholson
Hudson, W.  H	Hudson, W. H
Ellis, Edwar S	Ellis, Edward Sylvester
Banks, G.  Linnaeus	Banks, G. Linnaeus
Heighway, Osborn W.Trenery	Heighway, Osborn W. Trenery
Crockett, S.R	Crockett, S. R
Roe, Edw. Payson	Roe, Edward Payson
Ward, Humphry, Mrs	Ward, Mary Augusta
Mathews, Ellen Buckingham	Bradford, O. K
Philips, F.  C	Philips, F. C
Couperthwaite, S.L	Couperthwaite, S. L
Maugham, W. Somerset (William Somerset)	Maugham, W. Somerset
Forrester	Forrester, Mrs
(Pelham Grenville), Wodehouse, P. G	Wodehouse, P. G
Fullom, S.W	Fullom, S. W
Beresford, J.  D	Beresford, J. D
Henty, G.  A	Henty, G. A
Boulger, D. Henrietta 	Gift, Theo
Howe, E.  W	Howe, E. W
(Gladys Bronwyn), Stern, G. B	Stern, G. B
O.  Douglas	O. Douglas
Brontí, Charlotte	Brontë, Charlotte
 , William	Macleod, Fiona
Chekhov, Anton Pavlovich	Chekhov, Anton
Cain, James M. (James Mallahan)	Cain, James M
Guthrie, Thomas Anstey	Anstey, F
Somerville, E.  Œ	Somerville, E. Œ
Paull, M.  A	Paull, M. A
Stacpoole, H.  De Vere	Stacpoole, H. De Vere
Wells, H.G	Wells, H. G
Douglas, Lloyd C	(Lloyd Cassel), Douglas, Lloyd C
Crockett, S.  R	Crockett, S. R
Blackmore, R. D. (Richard Doddridge)	Blackmore, R. D
Wells, H. G. (Herbert George)	Wells, H. G
Kirchner, Aloisia	Schubin, Ossip
Williamson, C.  N	Williamson, C. N
Stern, G.B	Stern, G. B
Scott, Geo.G	Scott, Geo. G
Hudson, W.H	Hudson, W. H
Nin, Anaïs	Nin, Anais
Darlington, W. A	Darlington, William Aubrey
Burnand, F.C	Burnand, F. C
Arthur, T.S	Arthur, T. S
Riddell, J.H	Riddell, J. H
Holland, J.G	Holland, J. G
Riddell, J.  H	Riddell, J. H
Linton, E.  Lynn	Linton, E. Lynn
Noel, Rosa	De Jongh, Bertha
Mottram, R.  H	Mottram, R. H
Benson, E.  F	Benson, E. F
Buxton, B.  H	Buxton, B. H
Mitchell, Donald G	Mitchell, Donald Grant
Aí¿dí©, Hamilton	Aïdé, Hamilton
Cody, H. A	Cody, H. A. (Hiram Alfred)
Bullard, A.  T.  J	Bullard, A. T. J
Sir, Walpole, Hugh	Walpole, Hugh
Green, Julien	Green, Julian
Ayres, Ruby M.  (Ruby Mildred)	Ayres, Ruby M. (Ruby Mildred)
Davis, H.L	Davis, H. L
Costain, Thomas B.(Thomas Bertram)	Costain, Thomas B. (Thomas Bertram)
Bardeen, C.W.(Charles William)	Bardeen, C. W. (Charles William)
Braddon, M.E	Braddon, M. E
Crofts, Freeman Wills	Freeman Wills Crofts
Dalrymple, J.Elphinstone	Dalrymple, J. Elphinstone
Rayne, M.L	Rayne, M. L
Milne, A.A	Milne, A.A
Snaith, J.C	Snaith, J. C
Hutchinson, A.  S.  M	Hutchinson, A. S. M
Cunninghame Graham, R.  B	Cunninghame Graham, R. B
Ballantyne, R.  M	Ballantyne, R. M
Tourgí©e, Albion Winegar	Tourgée, Albion Winegar
Southworth, E. D. E. N. 	Southworth, Emma Dorothy Eliza Nevitte
Goodwin, H.B	Goodwin, H. B
Chesterton, G.  K	Chesterton, G. K
Ayres, Ruby M.(Ruby Mildred)	Ayres, Ruby M. (Ruby Mildred)
Chí¢teauclair, Wilfrid	Châteauclair, Wilfrid
Adams, William Taylor	Optic, Oliver
Alcott, Louisa M	Alcott, Louisa May
Read, Opie	Read, Opie Percival
(Henry Major), Tomlinson, H.  M	(Henry Major), Tomlinson, H. M
Hutchinson, R. C	Hutchinson, R.C
Arnold, Augustus C.  L	Arnold, Augustus C. L
