date,firstpub,author,title,genre,publisher,birthdate,gender,inhathi,htid,binding,dollars,pseudonym
1890,1890,"De Leon, Thomas Cooper","Juny; or, only one girl's story",,Gossip,1839,m,n,,,,
1890,1889,"Fawcett, Edgar",The evil that men do,,Belford,1847,m,y,,,,
1890,1890,"Gerard, Dorothea",Lady Baby: a novel,,Harpers,1855,f,y,,,,
1890,1889,"Habberton, John",Couldn't say no,,Belford,1842,m,y,nyp.33433112002088,,,
1890,1889,"Lewis, Harriet",The bailiff's scheme,,Rob Bonner's Sons,1841,f,y,hvd.hn2t47,,,
1890,1890,"Ashley, C B",Luke Bennett's hide-out,,Lovell,,u,y,nc01.ark:/13960/t2j682280,,,
1890,1890,"Adsit, Byron D",A mystery of the fast mail,detective fiction,Lovell,,m,n,,paper,,
1890,1878,"Isaacs, Jorge",Maria: a South American romance,,Harper,1837,m,y,,cloth,,
1890,1890,"Maclure, David",David Todd: the romance of his life and loving,,Cassell,,m,n,,paper,,
1890,1890,"Comfort, Lucy Randall","Cecile's Marriage; or, the heiress of Earnscliff",,Street & Smith,1836,f,n,,cloth,,
1890,1890,"Forsyth, Miss",An awakening,,F. Lovell,,f,n,,paper,,
1890,1890,"French, Alice",Expiation,,Scribner's Sons,1850,f,y,njp.32101068169018,cloth,,"Thanet, Octave"
1890,1890,"Tiernan, Mary Spear",Jack Horner: a novel,,Houghton Mifflin,1836,f,y,nyp.33433076081730,cloth,,
1890,1890,"Urner, Nathan D.","Gold-dust Darrell; or, the wizard of the mines",,Street & Smith,,m,n,,paper,,"Brentford, Burke"
1890,1886,"Kirk, Ellen Olney",The story of Margaret Kent: a novel,,Houghton Mifflin,,f,y,hvd.hn1cig,cloth,1.25,
1890,1890,"Paget, Violet",Hauntings: fantastic stories,ghost story,Lovell,1856,f,y,uva.x004604374,paper,,"Lee, Vernon"
1890,1883,"Miller, Mrs Alex McVeigh",The bride of the tomb,,Lovell,,f,y,osu.32435018529180,paper,,
1890,1890,"Donelly, Ignatius",Caesar's column,science fiction,Schulte,1831,m,y,nyp.33433039680552,cloth,1.25,"Boisgilbert, Edmund"
1890,1890,"Campbell, Gilbert","Mysteries of the unseen; or, supernatural stories of English life",ghost story,"Ward, Lock",1838,m,n,,paper,,
1890,1889,"Douglas, Alice May",Gems without polish: a story of the country week,,Hunt & Easton,1865,f,n,,cloth,1.25,
1890,1890,"Frederic, Harold",The Lawton girl,,Scribner's sons,1856,m,y,njp.32101068169091,cloth,1.25,
1890,1890,"Gardner, Celia E.",Seraph â€” or mortal?: a romance,science fiction,Dillingham,1844,f,y,osu.32435078738374,cloth,1.5,
1890,1890,"Jones, Erasmus W.",Gold tinsel and trash,,Hunt & Eaton,1817,m,y,uva.x001260396,cloth,1,
1890,1890,"Thayer, Emma Homan",The English-American,,Donohue,1842,f,y,wu.89104495767,cloth,1,
1890,1890,"D'Aveline, Alfred","Menshikoff, or, the peasant prince",,Kilner,,m,y,uc2.ark:/13960/t8pc2w34s,cloth,,
1890,1890,"Cheney, Ednay D.",Norah's return: a sequel to the Doll's House,,Lee & Shepard,,f,n,,paper`,0.5,
1890,1884,"Crawford, F. Marion",The Roman singer,,Houghton Mifflin,,m,y,hvd.hwjsaq,paper,0.5,
1890,1884,"Hammond, W. A.",Lal: a novel,,Appleton,1828,m,y,hvd.hn1w1y,paper,0.5,
1890,1890,"Drysdale, William",The Princess of Montserrat,,Albany,1852,m,y,hvd.hxdhxr,cloth,1,
1890,1890,"White, Caroline Earle",Love in the tropics: a romance of the south seas,romance,Lippincott,1833,f,y,osu.32435017740895,cloth,1,
1955,1949,"Stein, Aaron Marc",Drop dead,,Bantam,1906,m,n,,paper,0.25,"Bagby, George"
1955,1954,"Bennett, Margot",The long way back,,Coward,1912,f,n,,cloth,3.5,
1955,1955,"O'More, Peggy",Two strings to my bow,,Arcadia,1895,f,n,,cloth,2.5,"Bowman, Jeanne"
1955,1954,"Bowen, Sidney",The million dollar fumble,sports,Lothrop,1900,m,n,,cloth,2.5,
1955,1955,"Bigelow, Marvyn Jay","Urdag, the Aleut",,Vantage,,m,n,,cloth,3.5,
1955,1949,"Brown, Fredric",The screaming Mimi,detective fiction,Bantam,1906,m,n,,paper,0.25,
1955,1954,"Bryan, Frank",The long shadow,,Comet,,m,n,,cloth,3,
1955,1955,"Budavas, Stasius",The forbidden miracle,,Comet,,m,n,,cloth,3,
1955,1955,"Campbell, Patricia",By sun and candlelight: a novel,,Macmillan,,f,n,,cloth,3.5,
1955,1947,"Einstein, Charles",The only game in town,sports,Dell,1926,m,n,,paper,0.25,
1955,1948,"Forester, Cecil Scott",Mr Midshipman Hornblower,sea,Bantam,1899,m,n,,paper,0.35,
1955,1953,"Gault, William Campbell",Blood on the boards,,Dell,1910,m,n,,paper,0.25,
1955,1955,"Gorham, Charles O.",The gold of their bodies,,Dial,1911,m,n,,boards,3.5,
1955,1951,"Greene, Graham",The end of the affair,spy,Bantam,1904,m,y,mdp.39015031598165,paper,0.35,
1955,1954,"Hardy, Ronald",The place of jackals,,Doubleday,1919,m,n,,,3.5,
1955,1955,"Heath, Eric",Murder of a mystery writer,detective fiction,Arcadia,,m,n,,,2.5,
1955,1955,"Heuman, William",The girl from Frisco,,Morrow,1912,m,y,osu.32435068345057,boards,3,
1955,1953,"Hilton, James",Time and time again,,Pocket,1900,m,y,uc1.$b101989,paper,0.25,"Trevor, Glen"
1955,1952,"Kendrick, Baynard Hardwick",You diet today,detective fiction,Mercury,1894,m,n,,paper,0.35,
1955,1955,"Lawrence, Josephine",The gates of living,,Harcourt,1897,f,y,uc1.$b106108,boards,3.95,
1955,1955,"Kenyon, Frank Wilson",Emma,,Crowell,1912,m,y,pst.000006683511,,3.95,
1955,1954,"Lemon, James Anthony",The robin must be fed,,Comet,,m,n,,,3,
1955,1952,"Linford, Dee",Man without a star,western,Bantam,1915,m,n,,paper,0.35,
1955,1954,"Lutley, George",Oswald and Matilda,,Vantage,,m,n,,,3,
1955,1955,"MacDonald, Philip",Guest in the house,crime,Doubleday,1900,m,n,,boards,2.75,"Lawless, Anthony"
1955,1955,"Bellasis, Margaret","Mrs. Betsey, or, widowed and wed",romance,Coward-McCann,,f,y,mdp.39015059395908,,3.75,"Marton, Francesca"
1955,1954,"Moorehead, Alan",A summer night,,Harper,1910,m,y,mdp.39015005790558,boards,3,
1955,1955,"Neubauer, William Arthur",Angel mountain,,Arcadia,,m,n,,,2.5,
1955,1955,"Patrick, Luther",Goosepocket,humor,Vulcan,,m,n,,,3,
1955,1955,"Gifford, James Noble",Walk up Market Street,,Arcadia,,m,n,,,2.5,"Rutherford, Gay"
